frame	anim_us	render_us	vsync_us	copy_us	total_us	rows	dominant
0	17	10865	22183	13967	47032	540	vsync
1	34	2647	16674	6440	25795	311	vsync
2	32	2595	24249	6413	33289	311	vsync
3	33	2620	24255	6417	33325	311	vsync
4	60	2606	24243	6432	33341	311	vsync
5	33	2572	24266	6426	33297	311	vsync
6	34	2636	24227	6399	33296	310	vsync
7	57	2603	24262	6387	33309	309	vsync
8	36	2624	24272	6406	33338	310	vsync
9	34	2626	24247	6407	33314	311	vsync
10	60	2590	24264	6439	33353	311	vsync
11	36	2589	24259	6431	33315	311	vsync
12	36	2638	24213	6419	33306	311	vsync
13	61	2599	24243	6414	33317	311	vsync
14	36	2602	24265	6403	33306	310	vsync
15	36	2643	24237	6397	33313	310	vsync
16	59	2599	24267	6427	33352	311	vsync
17	36	2590	24257	6429	33312	311	vsync
18	36	2668	24135	6455	33294	311	vsync
19	37	2599	24226	6417	33279	311	vsync
20	35	2621	24246	6422	33324	311	vsync
21	36	2667	24195	6384	33282	310	vsync
22	34	2638	24265	6383	33320	309	vsync
23	35	2604	24297	6424	33360	310	vsync
24	36	2651	24211	6423	33321	311	vsync
25	39	2581	24256	6435	33311	311	vsync
26	34	2610	40908	6434	49986	311	vsync
27	35	2612	24239	6425	33311	311	vsync
28	34	2638	24225	6383	33280	310	vsync
29	56	2656	24223	6373	33308	309	vsync
30	36	2613	24298	6392	33339	310	vsync
31	35	2595	24300	6419	33349	311	vsync
32	35	2586	24262	6422	33305	311	vsync
33	34	2602	24214	6426	33276	311	vsync
34	36	2625	24233	6402	33296	311	vsync
35	55	2614	24247	6417	33333	311	vsync
36	35	2626	24243	6424	33328	310	vsync
37	36	2641	24222	6400	33299	310	vsync
38	56	2591	24274	6417	33338	311	vsync
39	34	2608	24258	6419	33319	311	vsync
40	35	2640	24224	6440	33339	311	vsync
41	33	2608	24240	6433	33314	311	vsync
42	35	2623	24231	6425	33314	311	vsync
43	35	2629	24229	6389	33282	310	vsync
44	55	2590	24287	6383	33315	309	vsync
45	34	2604	24301	6405	33344	310	vsync
46	36	2614	24264	6432	33346	311	vsync
47	35	2583	24268	6403	33289	311	vsync
48	36	2633	24196	6425	33290	311	vsync
49	36	2635	24225	6435	33331	311	vsync
50	35	2603	24246	6413	33297	311	vsync
51	34	2589	24283	6414	33320	310	vsync
52	35	2632	24241	6390	33298	310	vsync
53	57	2611	24263	6440	33371	311	vsync
54	36	2590	24254	6423	33303	311	vsync
55	37	2628	24338	6443	33446	311	vsync
56	35	2600	24136	6433	33204	311	vsync
57	37	2589	24262	6423	33311	311	vsync
58	35	2644	24218	6384	33281	310	vsync
59	56	2581	24298	6378	33313	309	vsync
60	37	2613	24293	6396	33339	310	vsync
61	35	2590	24303	6405	33333	311	vsync
62	34	2581	24283	6433	33331	311	vsync
63	34	2618	24234	6389	33275	311	vsync
64	34	2605	24294	6444	33377	311	vsync
65	37	2593	24222	6438	33290	311	vsync
66	35	2614	24234	6403	33286	310	vsync
67	35	2623	24259	6378	33295	310	vsync
68	56	2568	24317	6415	33356	311	vsync
69	35	2591	24279	6420	33325	311	vsync
70	36	2623	24289	10181	37129	311	vsync
71	308	3523	19361	7527	30719	311	vsync
72	43	3082	22568	7234	32927	311	vsync
73	37	3046	23009	7168	33260	310	vsync
74	35	3083	23027	7253	33398	309	vsync
75	49	3058	22960	7227	33294	310	vsync
76	36	3060	23002	7199	33297	311	vsync
77	55	3078	22981	7299	33413	311	vsync
