frame	anim_us	render_us	vsync_us	copy_us	phases_us	wall_us	rows	dominant
0	47	12326	25554	15867	53794	53801	540	vsync
1	36	3060	31019	7213	41328	41336	311	vsync
2	32	2984	23105	7176	33297	33304	311	vsync
3	34	3010	23087	7213	33344	33350	311	vsync
4	33	2915	23158	7140	33246	33253	311	vsync
5	49	3005	23128	7155	33337	33343	310	vsync
6	35	2989	23134	7193	33351	33358	310	vsync
7	33	2956	23133	7114	33236	33243	311	vsync
8	33	3000	23189	7180	33402	33410	311	vsync
9	40	3006	23050	7202	33298	33304	311	vsync
10	33	2937	23150	7145	33265	33272	311	vsync
11	35	3038	23116	7183	33372	33378	311	vsync
12	41	3005	23081	7195	33322	33329	310	vsync
13	33	2937	23153	7050	33173	33179	309	vsync
14	51	3026	23208	7157	33442	33448	310	vsync
15	35	3002	23111	7197	33345	33352	311	vsync
16	34	2950	23141	7159	33284	33291	311	vsync
17	35	3008	23054	7172	33269	33277	311	vsync
18	34	3035	23065	7202	33336	33342	311	vsync
19	34	2933	23153	7124	33244	33250	311	vsync
20	33	3011	23167	7152	33363	33370	310	vsync
21	34	2998	23126	7179	33337	33344	310	vsync
22	34	2938	23167	7120	33259	33266	311	vsync
23	34	3045	23136	7172	33387	33393	311	vsync
24	36	2988	23109	7198	33331	33338	311	vsync
25	36	2938	23147	7139	33260	33267	311	vsync
26	36	3027	23135	7175	33373	33381	311	vsync
27	43	3015	23072	7178	33308	33314	310	vsync
28	36	2933	23174	7055	33198	33205	309	vsync
29	54	3007	23219	8791	35071	35080	310	vsync
30	57	4356	20114	7214	31741	31747	311	vsync
31	35	2961	23097	7124	33217	33224	311	vsync
32	36	3034	23140	7171	33381	33388	311	vsync
33	34	3005	23037	7197	33273	33280	311	vsync
34	34	2950	23138	7122	33244	33251	311	vsync
35	35	3040	23139	7167	33381	33387	310	vsync
36	34	2995	23111	7208	33348	33355	310	vsync
37	35	3086	22990	7125	33236	33244	311	vsync
38	35	3035	23142	7232	33444	33451	311	vsync
39	34	3020	23018	7202	33274	33281	311	vsync
40	34	2938	23146	7310	33428	33434	311	vsync
41	35	2998	22975	7236	33244	33252	311	vsync
42	34	2974	23062	7198	33268	33276	310	vsync
43	36	2993	23095	7185	33309	33314	309	vsync
44	35	3003	23097	7230	33365	33371	310	vsync
45	35	2980	23062	7210	33287	33293	311	vsync
46	33	3029	23048	7236	33346	33353	311	vsync
47	54	2954	23034	7249	33291	33297	311	vsync
48	34	2992	23033	7218	33277	33282	311	vsync
49	34	2993	23075	7226	33328	33334	311	vsync
50	35	2983	23092	7199	33309	33316	310	vsync
51	43	2986	23083	7185	33297	33305	310	vsync
52	35	2995	23099	7216	33345	33352	311	vsync
53	35	3026	23056	7247	33364	33370	311	vsync
54	36	2993	23031	7211	33271	33277	311	vsync
55	34	2990	23087	7229	33340	33346	311	vsync
56	35	3014	23058	7242	33349	33355	311	vsync
57	33	2974	23058	7200	33265	33272	310	vsync
58	33	2985	23099	7181	33298	33305	309	vsync
59	34	3009	23099	7203	33345	33352	310	vsync
60	44	2982	23078	7203	33307	33314	311	vsync
61	33	2998	23086	7238	33355	33361	311	vsync
62	35	2991	23070	7226	33322	33330	311	vsync
63	35	2978	23068	7210	33291	33297	311	vsync
64	35	3008	23067	7228	33338	33346	311	vsync
65	34	2985	23081	7198	33298	33305	310	vsync
66	44	2953	23111	7187	33295	33302	310	vsync
