kind	ts_unix_ms	sample	mode	host	reboot_issue_ms	down_ms	tcp22_ms	ssh_exec_ready_ms	resolve_ms	tcp_ms	handshake_ms	auth_ms	exec_ms	main_status_ms	slint_status_ms	uptime	launcher_state	slint_frames	note
boot-net	1781714922273	1	supervised	192.168.1.117	245	718	19983	20556	0	0	219	271	81	20594	20676	18.18	LauncherActive	546	connection timed out
boot-net	1781714945200	2	supervised	192.168.1.117	255	733	17586	18299	0	0	323	272	116	18359	18461	15.92	LauncherActive	487	connection timed out
boot-net	1781714965921	3	supervised	192.168.1.117	255	721	17583	18228	0	2	301	271	67	18327	18382	15.85	LauncherActive	486	connection timed out
boot-net	1781714993429	1	raw	192.168.1.117	229	2652	23320	23800	0	1	283	139	56	23906	23971	16.80	LauncherActive	486	connection timed out
boot-net	1781715019634	2	raw	192.168.1.117	232	2628	23296	23910	0	0	242	272	97	24016	24094	17.06	LauncherActive	547	connection timed out
boot-net	1781715363169	1	supervised	192.168.1.117	248	730	19984	20906	0	0	313	540	67	20988	21033	18.51	LauncherActive	548	connection timed out
boot-net	1781715386458	2	supervised	192.168.1.117	260	724	19972	20557	0	0	253	271	59	20626	20656	18.18	LauncherActive	608	connection timed out
boot-net	1781715495657	1	supervised	192.168.1.117	253	726	19986	20354	0	1	168	137	60	20427	20456	17.89	LauncherActive	484	connection timed out
boot-net	1781715518376	2	supervised	192.168.1.117	261	724	17571	18226	0	0	280	271	100	18332	18396	15.83	LauncherActive	427	connection timed out
boot-net	1781715624652	1	supervised	192.168.1.117	255	733	19974	20687	0	1	296	271	144	20762	20798	18.29	LauncherActive	547	connection timed out
boot-net	1781715647713	2	supervised	192.168.1.117	251	724	19967	20528	0	1	231	271	56	20597	20625	18.13	LauncherActive	608	connection timed out
boot-net	1781715705405	1	supervised	192.168.1.117	256	724	19986	20946	0	1	340	541	76	21021	21055	18.45	LauncherActive	546	connection timed out
boot-net	1781715728724	2	supervised	192.168.1.117	251	727	17585	18175	0	0	356	138	94	18282	18340	15.73	LauncherActive	424	connection timed out
boot-net	1781716302083	1	supervised	192.168.1.117	250	726	19985	20536	0	1	196	271	81	20614	20650	18.16	LauncherActive	547	connection timed out
boot-net	1781716324990	2	supervised	192.168.1.117	261	734	19983	20557	0	0	236	273	62	20625	20653	18.18	LauncherActive	607	connection timed out
boot-net	1781716387662	1	supervised	192.168.1.117	252	725	15172	16135	0	1	253	540	167	16190	16287	13.72	LauncherActive	303	connection timed out
boot-net	1781716406207	2	supervised	192.168.1.117	415	724	17572	18200	0	0	376	136	113	18294	18346	15.82	LauncherActive	486	connection timed out
boot-net	1781716448696	1	supervised	192.168.1.117	250	727	15177	15844	0	1	252	272	141	15945	15994	13.35	LauncherActive	302	connection timed out
boot-net	1781716535055	1	supervised	192.168.1.117	252	732													connection timed out
boot-net	1781717367166	1	supervised	192.168.1.117	245	729	19983	20638	0	1	305	271	76	20718	20759	18.21	LauncherActive	549	connection timed out
boot-net	1781717390180	2	supervised	192.168.1.117	257	729	22401	22777	0	0	176	137	61	22846	22876	20.39	LauncherActive	730	connection timed out
boot-net	1781717461554	1	supervised	192.168.1.117	261	732		16196	0	1002	179	541	141	16274	16313	13.81	LauncherActive	303	Connection refused (os error 61)
boot-net	1781717480137	2	supervised	192.168.1.117	400	724		14594	0	1001	190	271	227	14668	14702	12.22	LauncherActive	242	connection timed out
boot-net	1781717520118	1	supervised	192.168.1.117	248	729		15982	0	1001	205	274	169	16067	16104	13.45	LauncherActive	242	Connection refused (os error 61)
boot-net	1781717577292	1	supervised	192.168.1.117	251	728		16141	0	1001	185	541	92	16248	16293	13.67	LauncherActive	302	Connection refused (os error 61)
boot-net	1781717595843	2	supervised	192.168.1.117	488	724		14548	0	1001	190	274	174	14586	14667	12.14	LauncherActive	241	connection timed out
boot-net	1781717655738	1	supervised	192.168.1.117	255	737	17595	18120	0	1	261	137	123	18230	18298	15.76	LauncherActive	427	connection timed out
boot-net	1781717676296	2	supervised	192.168.1.117	385	733													Host is down (os error 64)
boot-net	1781718237136	1	external	192.168.1.117		0	12042	12503	0	0	247	138	70	12604	12657	10.64	LauncherActive	120	connection timed out
boot-net	1781718301665	1	supervised	192.168.1.117	250	732	12767	13332	0	1	227	271	64	13428	13483	10.92	LauncherActive	118	connection timed out
boot-net	1781718323607	1	supervised	192.168.1.117	253	739	12772	13438	0	0	207	273	184	13547	13580	11.02	LauncherActive	180	connection timed out
boot-net	1781718392700	1	supervised	192.168.1.117	254	730	12771	13223	0	1	226	138	85	13317	13375	10.78	LauncherActive	121	connection timed out
boot-net	1781718408339	2	supervised	192.168.1.117	295	730													Host is down (os error 64)
boot-net	1781718765219	1	supervised	192.168.1.117	249	739	12782	13249	0	0	252	137	75	13343	13398	10.88	LauncherActive	179	connection timed out
boot-net	1781718803176	1	supervised	192.168.1.117	246	729	12761	13498	0	1	307	280	146	13590	13626	11.06	LauncherActive	182	connection timed out
boot-net	1781718819057	2	supervised	192.168.1.117	339	737													Host is down (os error 64)
boot-net	1781719110193	1	supervised	192.168.1.117	269	733	15182	16140	0	0	251	540	165	16216	16315	13.73	LauncherActive	364	connection timed out
