label	iteration	scenario	us	notes
LIB-SMOKE-20260605	1	cold_scan	34529258	discover_us=22016570
LIB-SMOKE-20260605	1	import	15403704	bytes=20549632
LIB-SMOKE-20260605	1	cached_arcade_load	112720	rows=2553
LIB-SMOKE-20260605	1	no_change_manifest	606631	changed=false
LIB-OPT-20260605	1	cold_scan	34538668	discover_us=22018321
LIB-OPT-20260605	1	import	15103277	bytes=20549632
LIB-OPT-20260605	1	cached_arcade_load	112730	rows=2553
LIB-OPT-20260605	1	no_change_manifest	610456	changed=false
LIB-OPT-20260605	2	cold_scan	34384871	discover_us=21604882
LIB-OPT-20260605	2	import	15308558	bytes=20549632
LIB-OPT-20260605	2	cached_arcade_load	114208	rows=2553
LIB-OPT-20260605	2	no_change_manifest	622416	changed=false
LIB-OPT-20260605	3	cold_scan	34353156	discover_us=21880987
LIB-OPT-20260605	3	import	17266135	bytes=20549632
LIB-OPT-20260605	3	cached_arcade_load	115418	rows=2553
LIB-OPT-20260605	3	no_change_manifest	609241	changed=false
REVIEW-PR2-BEFORE-20260611	1	cold_scan	101874658	discover_us=84216048
REVIEW-PR2-BEFORE-20260611	1	import	15215159	bytes=18735104
REVIEW-PR2-BEFORE-20260611	1	cached_arcade_load	1022855	rows=6891
REVIEW-PR2-BEFORE-20260611	1	no_change_manifest	753925	changed=false
REVIEW-PR2-BEFORE-20260611	2	cold_scan	42037370	discover_us=26591915
REVIEW-PR2-BEFORE-20260611	2	import	15129679	bytes=18735104
REVIEW-PR2-BEFORE-20260611	2	cached_arcade_load	1025111	rows=6891
REVIEW-PR2-BEFORE-20260611	2	no_change_manifest	760115	changed=false
REVIEW-PR2-BEFORE-20260611	3	cold_scan	42154490	discover_us=26685178
REVIEW-PR2-BEFORE-20260611	3	import	14975597	bytes=18735104
REVIEW-PR2-BEFORE-20260611	3	cached_arcade_load	1019583	rows=6891
REVIEW-PR2-BEFORE-20260611	3	no_change_manifest	754555	changed=false
REVIEW-PR2-AFTER-20260611	1	cold_scan	31476912	discover_us=20181995
REVIEW-PR2-AFTER-20260611	1	import	15496459	bytes=18735104
REVIEW-PR2-AFTER-20260611	1	cached_arcade_load	791994	rows=6891
REVIEW-PR2-AFTER-20260611	1	no_change_manifest	12742784	changed=false
REVIEW-PR2-AFTER-20260611	2	cold_scan	31520694	discover_us=20194327
REVIEW-PR2-AFTER-20260611	2	import	13208291	bytes=18735104
REVIEW-PR2-AFTER-20260611	2	cached_arcade_load	792498	rows=6891
REVIEW-PR2-AFTER-20260611	2	no_change_manifest	13026539	changed=false
REVIEW-PR2-AFTER-20260611	3	cold_scan	31157971	discover_us=19817566
REVIEW-PR2-AFTER-20260611	3	import	13246036	bytes=18735104
REVIEW-PR2-AFTER-20260611	3	cached_arcade_load	854287	rows=6891
REVIEW-PR2-AFTER-20260611	3	no_change_manifest	12789223	changed=false
