label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_sprite_count	p95_sprite_count	max_sprite_count	avg_sprite_pixels	p95_sprite_pixels	max_sprite_pixels	avg_particle_count	p95_particle_count	max_particle_count	avg_flicker_skip_count	p95_flicker_skip_count	max_flicker_skip_count	rss_hwm_kb	visual_ok	date	notes
SPRITE-FX-SMOKE	sprite-zoom-toward-camera	61	61.0	16382	16498	16647	1	0	41	58	62	102	6874	9551	5313	8013	1435	1495	16449	16651	623	669	1227	1296	0	0	0	0	3462	6257	0	0	0	0	1	1	1	82547	166025	180538	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	sprite-shrink-into-distance	60	60.9	16414	16519	16606	1	0	33	56	59	102	5583	9298	3990	7763	1422	1445	16636	16650	613	653	1188	1220	0	0	0	0	2188	6050	0	0	0	0	1	1	1	52154	162312	184006	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	multi-sprite-large-object	60	60.9	16410	16465	16503	1	0	37	37	56	102	6165	6136	4727	4701	1283	1285	16638	16652	591	624	1850	1865	0	0	0	0	2285	2284	0	0	0	0	56	56	56	84112	84112	84112	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	boss-parts-assemble	60	60.9	16431	16469	16511	1	0	25	27	30	102	4281	4543	2867	3151	1263	1275	16640	16647	582	628	1798	1843	0	0	0	0	486	751	0	0	0	0	8	12	12	17458	26784	26784	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	sprite-priority-foreground	60	60.9	16409	16561	16575	1	0	21	22	31	102	3542	3633	1945	2003	1422	1458	16637	16659	607	648	979	990	0	0	0	0	357	444	0	0	0	0	0	1	1	3847	4968	4968	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	sprite-clipping-window	60	60.9	16407	16639	16715	2	0	22	24	32	102	3738	4171	2089	2230	1460	1512	16641	16656	623	667	1190	1302	0	0	0	0	274	527	0	0	0	0	0	1	1	761	5066	7351	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	drop-shadow-copy	60	60.9	16423	16511	16678	2	0	24	25	34	102	4102	4240	2480	2545	1463	1502	16636	16661	618	638	810	839	0	0	0	0	1050	1113	0	0	0	0	2	2	2	15670	15670	15670	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	blob-contact-shadow	60	60.9	16418	16556	16701	2	0	20	21	28	102	3461	3485	1821	1850	1458	1478	16635	16653	592	620	823	836	0	0	0	0	405	450	0	0	0	0	1	1	1	7835	7835	7835	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	invincibility-flicker	60	60.9	16421	16516	16671	2	0	19	20	24	102	3215	3389	1561	1738	1471	1513	16634	16649	593	630	786	795	0	0	0	0	181	397	0	0	0	0	0	1	1	3917	7835	7835	0	0	0	0	1	1	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
SPRITE-FX-SMOKE	afterimage-trail	60	60.9	16411	16582	16723	2	0	28	35	35	102	4803	5834	3165	4202	1459	1547	16635	16646	603	659	796	825	0	0	0	0	1765	2829	0	0	0	0	5	7	7	22185	34776	34776	0	0	0	0	0	0	18956	not-run	2026-06-12T21:25:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
