label	effect	frames	fps	avg_wall_us	p95_wall_us	p99_wall_us	slow_gt_16_7ms	slow_gt_20ms	avg_cpu_pct	p95_cpu_pct	max_trace_cpu_pct	max_sample_cpu_pct	avg_cpu_us	p95_cpu_us	avg_draw_us	p95_draw_us	avg_present_us	p95_present_us	avg_vsync_us	p95_vsync_us	avg_clear_us	p95_clear_us	avg_background_us	p95_background_us	avg_projection_us	p95_projection_us	avg_image_blit_us	p95_image_blit_us	avg_sprite_us	p95_sprite_us	avg_post_us	p95_post_us	avg_hud_us	p95_hud_us	avg_glyph_count	p95_glyph_count	max_glyph_count	avg_glyph_pixels	p95_glyph_pixels	max_glyph_pixels	avg_tile_count	p95_tile_count	max_tile_count	avg_vector_segment_count	p95_vector_segment_count	max_vector_segment_count	avg_bob_count	p95_bob_count	max_bob_count	avg_palette_step_count	p95_palette_step_count	max_palette_step_count	avg_hidden_glyph_count	p95_hidden_glyph_count	max_hidden_glyph_count	avg_scroll_offset	p95_scroll_offset	max_scroll_offset	rss_hwm_kb	visual_ok	date	notes
TEXT-FX-SMOKE	insert-coin-blink-cadence	61	61.6	16236	16484	16536	0	0	20	20	49	103	3329	3451	1612	1679	1524	1597	16468	16651	618	661	778	807	0	0	0	0	214	301	0	0	0	0	29	32	32	8810	9827	9827	0	0	0	0	0	0	0	0	0	0	0	0	2	10	10	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	high-score-initials-cursor-pulse	60	61.0	16380	16418	16422	0	0	20	21	21	103	3420	3472	1810	1864	1432	1460	16637	16653	586	634	776	813	0	0	0	0	447	499	0	0	0	0	58	58	58	23525	23525	23525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	sine-wave-text-scroller	60	61.1	16367	16430	16454	1	0	19	20	22	103	3272	3346	1516	1578	1579	1614	16642	16655	606	645	832	841	0	0	0	0	78	118	0	0	0	0	9	17	18	2253	4080	4304	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	236	448	472	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	per-letter-bounce	60	61.1	16354	16407	16448	1	0	27	31	41	103	4580	5220	3034	3646	1386	1417	16644	16653	621	665	2321	2935	0	0	0	0	91	133	0	0	0	0	10	10	10	4175	4175	4175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	per-letter-palette-chase	60	61.0	16384	16551	16633	0	0	18	19	27	103	3101	3217	1424	1475	1485	1598	16637	16651	595	622	752	795	0	0	0	0	75	119	0	0	0	0	11	11	11	4300	4300	4300	0	0	0	0	0	0	0	0	0	12	12	12	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	text-zoom-from-horizon	60	61.1	16371	16549	16681	2	0	18	19	22	103	3047	3351	1386	1458	1484	1542	16640	16653	597	625	733	754	55	145	0	0	0	0	0	0	0	0	2	2	2	2110	4114	4114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	letter-tiles-snap-into-grid	60	61.1	16372	16434	16542	1	0	23	25	33	103	3989	4162	2428	2535	1395	1455	16639	16654	586	628	1787	1875	0	0	0	0	54	62	0	0	0	0	5	5	5	686	747	747	5	5	5	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	logo-shimmer-palette-cycle	60	61.1	16368	16459	16636	1	0	20	21	25	103	3505	3558	1851	1892	1474	1515	16643	16654	594	624	1137	1201	0	0	0	0	119	178	0	0	0	0	11	11	11	2848	2848	2848	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	score-counter-rolling-digits	60	61.1	16361	16411	16591	1	0	19	20	26	103	3202	3308	1543	1567	1483	1507	16643	16656	603	630	780	802	0	0	0	0	160	217	0	0	0	0	11	11	11	3372	3555	3630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
TEXT-FX-SMOKE	ready-go-slap-burst	60	61.1	16375	16440	16631	0	0	17	19	24	103	3019	3146	1377	1451	1463	1535	16639	16655	585	620	708	742	0	0	0	0	84	166	0	0	0	0	4	5	5	1895	2952	2952	0	0	0	0	0	0	36	36	36	0	0	0	0	0	0	0	0	0	11612	not-run	2026-06-12T22:18:26Z	fb_format=565; preview_format=raw-rgb565; mode=mega; segment_secs=1
