label	scene	date	rustc	compile_sec	bytes	prepare_us	render_us	custom_draw_us	vsync_us	copy_us	cached_present_us	arcade_list_present_us	rows_avg	fps	cpu_mean	cpu_max	rss_kb	visual_ok	timing_ok	capture_ok	notes
A0-r2	demo	2026-06-03T09:31:12Z	1.96.0		1653948		2910		5281	8792			619	59	65	73	0	yes			skip-build
A0-r2	full_motion	2026-06-03T09:31:31Z	1.96.0		1653948		2830		5719	8440			619	59	64	72	0	yes			skip-build
A0-r2	static_ui	2026-06-03T09:31:50Z	1.96.0		1653948		1		16653	1			0	61	0	3	0	yes			skip-build
A0-r2	local_motion	2026-06-03T09:32:10Z	1.96.0		1653948		385		15160	1093			96	60	8	11	0	yes			skip-build
A0-r2	text_heavy	2026-06-03T09:32:29Z	1.96.0		1653948		52917		11994	13065			1040	13	81	90	0	yes			skip-build
A0-r2	solid_fill	2026-06-03T09:32:49Z	1.96.0		1653948		18789		7866	12564			980	26	78	97	0	yes			skip-build
A0-r2	list_scroll	2026-06-03T09:33:08Z	1.96.0		1653948		36469		12297	12911			940	17	77	94	0	yes			skip-build
A0	demo	2026-06-03T09:35:49Z	1.96.0		1653948		2611		6280	8153			619	59	61	73	0	yes			skip-build
A0	full_motion	2026-06-03T09:36:08Z	1.96.0		1653948		2757		6015	8276			619	59	62	72	0	yes			skip-build
A0	static_ui	2026-06-03T09:36:27Z	1.96.0		1653948		1		16653	1			0	60	0	2	0	yes			skip-build
A0	local_motion	2026-06-03T09:36:46Z	1.96.0		1653948		362		15255	1026			96	60	8	10	0	yes			skip-build
A0	text_heavy	2026-06-03T09:37:05Z	1.96.0		1653948		50874		9913	13178			1040	13	83	91	0	yes			skip-build
A0	solid_fill	2026-06-03T09:37:24Z	1.96.0		1653948		20266		13278	13872			980	21	69	93	0	yes			skip-build
A0	list_scroll	2026-06-03T09:37:44Z	1.96.0		1653948		35242		11443	12656			940	17	78	90	0	yes			skip-build
A1	demo	2026-06-03T09:47:17Z	1.96.0	271.38	1666244		2605		5238	9251			619	59	66	76	0	yes			legacy-no-notes
A1	full_motion	2026-06-03T09:47:36Z	1.96.0	271.38	1666244		2647		5889	8476			619	59	62	72	0	yes			legacy-no-notes
A1	static_ui	2026-06-03T09:47:55Z	1.96.0	271.38	1666244		1		16651	1			0	61	0	2	0	yes			legacy-no-notes
A1	local_motion	2026-06-03T09:48:14Z	1.96.0	271.38	1666244		386		15171	1081			96	60	8	11	0	yes			legacy-no-notes
A1	text_heavy	2026-06-03T09:48:33Z	1.96.0	271.38	1666244		54564		12715	14097			1040	12	80	90	0	yes			legacy-no-notes
A1	solid_fill	2026-06-03T09:48:52Z	1.96.0	271.38	1666244		19474		10159	13563			980	23	72	92	0	yes			legacy-no-notes
A1	list_scroll	2026-06-03T09:49:11Z	1.96.0	271.38	1666244		35585		11952	13810			940	16	77	98	0	yes			legacy-no-notes
